"FeatureID","FeatureName","Phase","Category","Vendors","FreeRADIUSDictionary","RFCsAndStandards","Priority","Dependencies","EstimatedComplexity","CurrentImplementationStatus","MissingFunctionality","RequiredBackendWork","RequiredPacketProcessingWork","RequiredPolicyEngineWork","RequiredDatabaseWork","RequiredAPIWork","RequiredUIWork","RequiredTesting","RequiredDocumentation","AcceptanceCriteria","ProductionReadinessCriteria"
"NAS-0071","Dell, Brocade, Arista, Extreme, and 3Com switching pack","Phase 7 - Vendor Compatibility","Vendor Compatibility","DellEMC; Force10; Equallogic; Brocade; Foundry; Arista; Extreme; 3com","Corresponding dictionaries","RFC 2865;RFC 8907","Medium","NAS-0033;NAS-0048;NAS-0052","XL","Missing","Missing switch command authorization, roles/VLAN/fabric/VRF, ACL/QoS, telemetry, fabric APIs, and hardware matrices.","Create a versioned typed vendor pack and any native adapter required for the named product families.","Implement every classified attribute direction/type/cardinality plus safe malformed and unknown handling.","Map attributes to neutral semantics or explicit vendor-owned behavior with precedence and trust rules.","Persist normalized values and bounded raw evidence with vendor, dictionary, firmware, packet, session, and tenant.","Expose pack/version/coverage/evidence/preview/health/certification APIs with exact lifecycle states.","Add vendor profile, typed mappings, unsupported fields, packet/effective preview, health, and certification evidence.","Authoritative golden vectors, fuzz, FreeRADIUS, pcap, simulator, real device/controller, scale, CoA, upgrade, rollback.","Authoritative semantic ledger, version/firmware matrix, deployment, limitations, and certification record.","All named behavior for Dell, Brocade, Arista, Extreme, and 3Com switching pack passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0072","Long-tail typed namespace program","Phase 7 - Vendor Compatibility","Vendor Compatibility","All remaining in-corpus vendors","All remaining dictionaries","RFC 2865;RFC 2866;RFC 5176","High","NAS-0002;NAS-0003;NAS-0004;NAS-0005","XL","Missing","167 namespaces have 0% compatibility and require semantics, typed packs, policy classification, and certification.","Create a versioned typed vendor pack and any native adapter required for the named product families.","Implement every classified attribute direction/type/cardinality plus safe malformed and unknown handling.","Map attributes to neutral semantics or explicit vendor-owned behavior with precedence and trust rules.","Persist normalized values and bounded raw evidence with vendor, dictionary, firmware, packet, session, and tenant.","Expose pack/version/coverage/evidence/preview/health/certification APIs with exact lifecycle states.","Add vendor profile, typed mappings, unsupported fields, packet/effective preview, health, and certification evidence.","Authoritative golden vectors, fuzz, FreeRADIUS, pcap, simulator, real device/controller, scale, CoA, upgrade, rollback.","Authoritative semantic ledger, version/firmware matrix, deployment, limitations, and certification record.","All named behavior for Long-tail typed namespace program passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0073","Out-of-corpus vendor intake","Phase 7 - Vendor Compatibility","Vendor Compatibility","Ubiquiti/UBNT; Netgear; future vendors","External authoritative dictionaries","RFC 2865","Medium","NAS-0001;NAS-0003","L","Missing","No governed process for external dictionary provenance, PEN validation, licensing, semantic review, versioning, and certification.","Create a versioned typed vendor pack and any native adapter required for the named product families.","Implement every classified attribute direction/type/cardinality plus safe malformed and unknown handling.","Map attributes to neutral semantics or explicit vendor-owned behavior with precedence and trust rules.","Persist normalized values and bounded raw evidence with vendor, dictionary, firmware, packet, session, and tenant.","Expose pack/version/coverage/evidence/preview/health/certification APIs with exact lifecycle states.","Add vendor profile, typed mappings, unsupported fields, packet/effective preview, health, and certification evidence.","Authoritative golden vectors, fuzz, FreeRADIUS, pcap, simulator, real device/controller, scale, CoA, upgrade, rollback.","Authoritative semantic ledger, version/firmware matrix, deployment, limitations, and certification record.","All named behavior for Out-of-corpus vendor intake passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0074","Complete hostapd dynamic VLAN lifecycle","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Local AP; all enterprise Wi-Fi vendors","Standard tunnel; WiFi-Alliance","RFC 2868","Critical","NAS-0052;NAS-0053","L","Partial","Dynamic VLAN output lacks complete VLAN file, bridge, cleanup, fallback, and failure rollback.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for Complete hostapd dynamic VLAN lifecycle passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0075","802.11r/k/v roaming and key lifecycle","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Cisco; Aruba; Ruckus; Extreme; Meraki; UniFi","WiFi-Alliance and vendor dictionaries","IEEE 802.11","High","NAS-0022;NAS-0074","XL","Missing","No fast transition, neighbor report, BSS transition, mobility domain, key cache, or roaming CoA correlation.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for 802.11r/k/v roaming and key lifecycle passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0076","Passpoint and Hotspot 2.0","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","WiFi-Alliance; hotspot vendors","WiFi-Alliance; WISPr; ChilliSpot; Nomadix","IEEE 802.11u","High","NAS-0025;NAS-0084","XL","Missing","No ANQP, venue/operator, roaming consortium, online signup, SIM auth, settlement, or carrier offload.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for Passpoint and Hotspot 2.0 passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0077","DPSK and PPSK lifecycle","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Ruckus; Aruba; Cisco; UniFi; Cambium","Ruckus; Aruba; Cisco; vendor dictionaries","RFC 2865","High","NAS-0027;NAS-0034","L","Missing","No per-device PSK issuance, rotation, revocation, group policy, bulk import, or controller synchronization.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for DPSK and PPSK lifecycle passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0078","Controller estate and object lifecycle","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","All nine controller adapters","Vendor controller APIs","RFC 2865","High","NAS-0013;NAS-0057;NAS-0061..NAS-0070","XL","Partial","Adapters manage narrow WLAN slices; no full inventory, templates, delete safety, firmware, cluster, or configuration compliance.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for Controller estate and object lifecycle passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0079","RF, RRM, mesh, and radio planning","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Cisco; Aruba; Ruckus; Extreme; Meraki; UniFi; Cambium","Vendor APIs","IEEE 802.11","Medium","NAS-0078","XL","Missing","No channel/power planning, interference, mesh topology, capacity, client steering, or radio health automation.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for RF, RRM, mesh, and radio planning passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0080","Rogue/WIPS, spectrum, location, and multicast","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Enterprise WLAN vendors","Vendor APIs","IEEE 802.11","Medium","NAS-0078;NAS-0079","XL","Missing","No rogue containment governance, WIPS events, spectrum analytics, location services, multicast optimization, or privacy controls.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for Rogue/WIPS, spectrum, location, and multicast passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0081","Controller CWA and safe per-session portal","Phase 8 - Enterprise Wi-Fi","Enterprise Wi-Fi","Cisco; Aruba; Ruckus; Fortinet; Meraki","Corresponding dictionaries and APIs","RFC 8910","Critical","NAS-0042;NAS-0048;NAS-0084","XL","Partial","Portal DNS interception is coarse; no RFC 8910 API, HTTPS strategy, per-session walled garden, controller redirect/CoA parity.","Implement WLAN lifecycle and controller/local-radio orchestration with inventory, drift, retries, and rollback.","Implement applicable RADIUS/EAP/VLAN/roaming/hotspot attributes and CoA transitions.","Define SSID, roaming, RF, security, identity, guest, per-device key, and controller ownership policy.","Store WLAN/radio/AP topology, keys by reference, roaming state, RF/security events, drift, and history.","Add WLAN/radio/topology/key/roaming/security/preview/apply/status APIs with async jobs and audit.","Add WLAN, RF/topology, key lifecycle, roaming, security, drift, and controller workflow views.","hostapd/controller/AP, roaming, VLAN, key rotation, portal, RF, failure, scale, upgrade, and rollback tests.","Wi-Fi architecture, controller/version matrices, AP setup, roaming/hotspot, and RF/security operations.","All named behavior for Controller CWA and safe per-session portal passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0082","PPPoE access concentrator","Phase 9 - ISP / BNG Features","ISP/BNG","Juniper ERX; Huawei; Nokia; MikroTik; Cisco; ISP vendors","ERX; Huawei; Nokia; Mikrotik; ADSL-Forum","RFC 2516","Critical","NAS-0008;NAS-0009","XL","Missing","No PPPoE discovery/session termination, authentication binding, MTU, session ownership, or HA.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for PPPoE access concentrator passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0083","Broadband subscriber state machine","Phase 9 - ISP / BNG Features","ISP/BNG","ERX; Huawei; H3C; Nokia; ZTE; Ericsson; Calix; Adtran","Broadband dictionaries","RFC 2865;RFC 2866","Critical","NAS-0032;NAS-0039;NAS-0082","XL","Missing","No subscriber lifecycle, service legs, reconnect, policy transition, accounting correlation, or recovery.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for Broadband subscriber state machine passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0084","Plans, products, service bundles, and concurrent sessions","Phase 9 - ISP / BNG Features","Subscriber Management","All ISP vendors","ISP/broadband families","RFC 2865","High","NAS-0029;NAS-0083","XL","Missing","No commercial catalog, recurring periods, family/account hierarchy, service bundle, or concurrency policy.","Implement commercial subscriber/account/product, quota, balance, and self-service workflows.","Correlate authorization/accounting attributes with product, quota, session, and service state.","Define concurrency, recurring periods, bundle eligibility, top-up, suspension, and grace rules.","Store accounts, hierarchies, products, subscriptions, balances, quota periods, transactions, and audit.","Add account/product/subscription/quota/top-up/billing/self-service APIs with tenancy and idempotency.","Add subscriber 360, plans, balances, quota, top-up, concurrent sessions, and self-service views.","Rating/quota/concurrency, period reset, payment rollback, accounting correlation, scale, and isolation tests.","Subscriber product, charging, self-service, support, and reconciliation guides.","All named behavior for Plans, products, service bundles, and concurrent sessions passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0085","Quota, balance, top-up, prepaid, and postpaid","Phase 9 - ISP / BNG Features","Subscriber Management","All ISP/hotspot vendors","ChilliSpot; Nomadix; ISP dictionaries","RFC 2866","High","NAS-0041;NAS-0084","XL","Partial","Selected quota attributes exist; no ledger, rating, reset, top-up, balance, prepaid/postpaid, or audit.","Implement commercial subscriber/account/product, quota, balance, and self-service workflows.","Correlate authorization/accounting attributes with product, quota, session, and service state.","Define concurrency, recurring periods, bundle eligibility, top-up, suspension, and grace rules.","Store accounts, hierarchies, products, subscriptions, balances, quota periods, transactions, and audit.","Add account/product/subscription/quota/top-up/billing/self-service APIs with tenancy and idempotency.","Add subscriber 360, plans, balances, quota, top-up, concurrent sessions, and self-service views.","Rating/quota/concurrency, period reset, payment rollback, accounting correlation, scale, and isolation tests.","Subscriber product, charging, self-service, support, and reconciliation guides.","All named behavior for Quota, balance, top-up, prepaid, and postpaid passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0086","Subscriber address pools and lease lifecycle","Phase 9 - ISP / BNG Features","ISP/BNG","ERX; Huawei; Nokia; Cisco; MikroTik","IP addressing/routing families","RFC 2865;RFC 3162","Critical","NAS-0055;NAS-0083","XL","Missing","No sticky/dynamic pools, conflict detection, dual-stack lease ownership, reservation, CoA, or accounting correlation.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for Subscriber address pools and lease lifecycle passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0087","BNG hierarchical QoS and service flows","Phase 9 - ISP / BNG Features","ISP/BNG","ERX; Huawei; Nokia; Starent; WiMAX","Bandwidth/QoS families","RFC 2865","Critical","NAS-0049;NAS-0083","XL","Missing","No per-subscriber/service hierarchy, policer/shaper/scheduler, aggregate control, or vendor compiler proof.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for BNG hierarchical QoS and service flows passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0088","L2TP and wholesale realm separation","Phase 9 - ISP / BNG Features","ISP/BNG","Cisco; Juniper; Nokia; wholesale ISP vendors","Cisco; ERX; Nokia; ADSL-Forum","RFC 2661","High","NAS-0010;NAS-0082","XL","Missing","No LAC/LNS state, tunnel selection, wholesale realms, accounting delegation, or failover.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for L2TP and wholesale realm separation passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0089","DHCP relay, snooping, Option 82, and IP source guard","Phase 9 - ISP / BNG Features","ISP/BNG","DHCP; access-node vendors","DHCP; FreeDHCP; Alcatel-ESAM; Calix; Adtran","RFC 3046","High","NAS-0055;NAS-0083","L","Missing","No relay/snoop bindings, trusted ports, Option 82 policy, source guard, or RADIUS correlation.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for DHCP relay, snooping, Option 82, and IP source guard passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0090","Service activation, BNG route lifecycle, and multicast","Phase 9 - ISP / BNG Features","ISP/BNG","ERX; Huawei; H3C; Nokia; ZTE","Broadband dictionaries","RFC 4271","High","NAS-0054;NAS-0058;NAS-0083","XL","Missing","No transactional service activation, multicast entitlement, route publish/withdraw, or rollback.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for Service activation, BNG route lifecycle, and multicast passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0091","Lawful-intercept governance and subscriber self-service","Phase 9 - ISP / BNG Features","ISP/BNG","Cisco; Juniper; Huawei; Nokia; Ericsson","Broadband/mobile dictionaries","No direct RFC; internal architecture and applicable product/security standards","High","NAS-0034;NAS-0041;NAS-0083","XL","Missing","No legally governed intercept adapter, immutable approvals/audit, subscriber portal, billing, plan changes, or privacy controls.","Implement subscriber and access state machines, service orchestration, charging hooks, and network adapters.","Implement PPP/DHCP/RADIUS broadband attributes, routes, pools, QoS, multicast, and accounting transitions.","Define subscriber/product/service, wholesale, quota, address, QoS, intercept, and failure policy.","Add subscribers, accounts, products, services, balances, leases, routes, QoS, events, and regulatory audit.","Add subscriber/product/service/session/lease/quota/activation/billing APIs with async operations and tenancy.","Add subscriber 360, product catalog, activation, balance/quota, address/route/QoS, and support workflows.","Protocol/session, reconnect, quota, billing, dual-stack, route/QoS, failover, scale, soak, and BNG hardware tests.","BNG architecture, product/subscriber model, protocols, charging, operations, and regulatory controls.","All named behavior for Lawful-intercept governance and subscriber self-service passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
