"Vendor","PEN","VendorFeatures","Implemented","PartiallyImplemented","Missing","CompatibilityPercent","Recommendation"
"ipUnplugged","5925","Authentication; Vendor-specific/other","0 end-to-end vendor features proven","None","10 of 10 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 10 attributes and certify representative hardware/software."
"Issanni","5948","Authorization/policy; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","17 of 17 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 17 attributes and certify representative hardware/software."
"ITK","1195","Accounting/session; Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","32 of 32 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 32 attributes and certify representative hardware/software."
"Juniper","2636","Accounting/session; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","7 VSA mapping(s): access.role; accounting.counters; device.group; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile","32 of 39 attributes plus their device workflows","8.97","Promote 7 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 32 attributes by feature family."
"KarlNet","762","Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","None","4 of 4 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 4 attributes and certify representative hardware/software."
"Kineto","16445","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","57 of 57 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 57 attributes and certify representative hardware/software."
"Lancom","2356","ACL/firewall policy; Authentication; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","27 of 27 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 27 attributes and certify representative hardware/software."
"Lantronix","244","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Livingston","307","Accounting/session; Authorization/policy; IP addressing/routing; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","21 of 21 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 21 attributes and certify representative hardware/software."
"Local-Web","19220","Accounting/session; IP addressing/routing; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","15 of 15 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 15 attributes and certify representative hardware/software."
"Lucent","4846","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","431 of 431 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 431 attributes and certify representative hardware/software."
"Manzara","19382","Accounting/session; Authentication; Authorization/policy; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","14 of 14 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 14 attributes and certify representative hardware/software."
"Meinberg","5597","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Mellanox","33049","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Meraki","29671","Accounting/session; NAS/device management; Security/VPN/posture; Tenant/location","0 end-to-end vendor features proven","4 VSA mapping(s): accounting.identity; device.group; governance.tenant; posture.device_state","0 of 4 attributes plus their device workflows","50","Promote 4 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"Merit","61","Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Meru","15983","Accounting/session; NAS/device management","0 end-to-end vendor features proven","2 VSA mapping(s): accounting.identity; device.group","0 of 2 attributes plus their device workflows","50","Promote 2 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"Microsemi","40676","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"Microsoft","311","Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","59 of 59 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 59 attributes and certify representative hardware/software."
"Mikrotik","14988","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","2 VSA mapping(s): access.bandwidth_profile; enforcement.dynamic_acl","30 of 32 attributes plus their device workflows","3.12","Promote 2 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 30 attributes by feature family."
"Mimosa","43356","802.1X/enterprise Wi-Fi; Authentication; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","29 of 29 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 29 attributes and certify representative hardware/software."
"Motorola","161","Accounting/session; Bandwidth/QoS; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","36 of 36 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 36 attributes and certify representative hardware/software."
"Navini","6504","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"NET","177","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","109 of 109 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 109 attributes and certify representative hardware/software."
"NetBorder","35987","Accounting/session; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","23 of 23 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 23 attributes and certify representative hardware/software."
"NetElastic","54268","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; Mobile/core/charging; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","37 of 37 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 37 attributes and certify representative hardware/software."
"Netscreen","3224","Authorization/policy; IP addressing/routing; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","9 of 9 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 9 attributes and certify representative hardware/software."
"NetworkPhysics","7119","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Nexans","266","NAS/device management; Voice/telephony","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"Nile","58313","Captive portal/hotspot/guest; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Nokia","94","Accounting/session; Authentication; Authorization/policy; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","3 VSA mapping(s): access.policy_tag; access.role; device.group","12 of 15 attributes plus their device workflows","10","Promote 3 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 12 attributes by feature family."
"Nomadix","3309","802.1X/enterprise Wi-Fi; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; Vendor-specific/other","0 end-to-end vendor features proven","6 VSA mapping(s): access.policy_tag; access.vlan; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth; session.action","13 of 19 attributes plus their device workflows","15.79","Promote 6 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 13 attributes by feature family."
"Nortel","562","Authentication; Authorization/policy; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","20 of 20 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 20 attributes and certify representative hardware/software."
"NTUA","969","Accounting/session; Authorization/policy; Bandwidth/QoS; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","18 of 18 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 18 attributes and certify representative hardware/software."
"OpenWiFi","58888","Accounting/session","0 end-to-end vendor features proven","1 VSA mapping(s): accounting.identity","0 of 1 attributes plus their device workflows","50","Promote 1 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"Packeteer","2334","Accounting/session","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"PaloAlto","25461","Accounting/session; Authorization/policy; NAS/device management; Security/VPN/posture; Tenant/location","0 end-to-end vendor features proven","5 VSA mapping(s): access.role; accounting.identity; device.group; governance.tenant; posture.device_state","5 of 10 attributes plus their device workflows","25","Promote 5 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 5 attributes by feature family."
"Patton","1768","Accounting/session; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","53 of 53 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 53 attributes and certify representative hardware/software."
"Perle","1966","NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","51 of 51 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 51 attributes and certify representative hardware/software."
"pfSense","13644","Accounting/session; Bandwidth/QoS","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Pica8","35098","ACL/firewall policy; Authorization/policy; Captive portal/hotspot/guest","0 end-to-end vendor features proven","4 VSA mapping(s): access.policy_tag; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile","0 of 4 attributes plus their device workflows","50","Promote 4 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"Propel","14895","Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"Prosoft","4735","Authentication; IP addressing/routing; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","15 of 15 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 15 attributes and certify representative hardware/software."
"Proxim","841","Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","56 of 56 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 56 attributes and certify representative hardware/software."
"Purewave","21074","Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"Quiconnect","14436","Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Quintum","6618","Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","25 of 25 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 25 attributes and certify representative hardware/software."
"RCNTEC","46235","Accounting/session; Authorization/policy","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"RedCreek","1958","IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","9 of 9 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 9 attributes and certify representative hardware/software."
"Riverbed","17163","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Riverstone","5567","NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","4 of 4 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 4 attributes and certify representative hardware/software."
"Roaring-Penguin","10055","Accounting/session; Captive portal/hotspot/guest; Vendor-specific/other","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"Ruckus","25053","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","9 VSA mapping(s): access.role; access.vlan; accounting.identity; device.group; governance.tenant; guest.portal_profile; posture.device_state","75 of 84 attributes plus their device workflows","5.36","Promote 9 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 75 attributes by feature family."
"RuggedCom","15004","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"SG","2454","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","86 of 86 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 86 attributes and certify representative hardware/software."
"Shasta","3199","Authorization/policy; Security/VPN/posture","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Shiva","166","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","35 of 35 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 35 attributes and certify representative hardware/software."
"Siemens","4329","802.1X/enterprise Wi-Fi; Authorization/policy; Captive portal/hotspot/guest; Vendor-specific/other","0 end-to-end vendor features proven","None","10 of 10 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 10 attributes and certify representative hardware/software."
"Slipstream","7000","Authentication","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"SmartShareSystems","30585","Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"SofaWare","6983","Captive portal/hotspot/guest; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","4 of 4 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 4 attributes and certify representative hardware/software."
"SoftBank","22197","IP addressing/routing; Vendor-specific/other","0 end-to-end vendor features proven","None","13 of 13 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 13 attributes and certify representative hardware/software."
"SonicWall","8741","Authorization/policy","0 end-to-end vendor features proven","3 VSA mapping(s): access.role","0 of 3 attributes plus their device workflows","50","Promote 3 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"SpringTide","3551","Accounting/session; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","16 of 16 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 16 attributes and certify representative hardware/software."
"Starent","8164","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","520 of 520 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 520 attributes and certify representative hardware/software."
"Surfnet","1076","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Symbol","388","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","13 of 13 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 13 attributes and certify representative hardware/software."
"Telebit","117","Accounting/session; Authentication; NAS/device management","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"Telkom","1431","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Telrad","5323","Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","None","8 of 8 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 8 attributes and certify representative hardware/software."
"TERENA","25178","Vendor-specific/other","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"TPLink","11863","Authentication; Bandwidth/QoS; Captive portal/hotspot/guest; NAS/device management; Tenant/location","0 end-to-end vendor features proven","6 VSA mapping(s): device.group; governance.tenant; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","3 of 9 attributes plus their device workflows","33.33","Promote 6 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 3 attributes by feature family."
"Trapeze","14525","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","13 of 13 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 13 attributes and certify representative hardware/software."
"Travelping","18681","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","59 of 59 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 59 attributes and certify representative hardware/software."
"TrippLite","850","Authentication; Authorization/policy; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","4 of 4 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 4 attributes and certify representative hardware/software."
"Tropos","14529","Accounting/session; Authorization/policy; Bandwidth/QoS; IP addressing/routing; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","28 of 28 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 28 attributes and certify representative hardware/software."
"T-Systems-Nova","16787","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","15 of 15 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 15 attributes and certify representative hardware/software."
"UKERNA","25622","Authentication; Authorization/policy; IP addressing/routing; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","15 of 15 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 15 attributes and certify representative hardware/software."
"Unix","4","Authorization/policy; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"USR","429","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","414 of 414 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 414 attributes and certify representative hardware/software."
"UTStarcom","7064","Accounting/session; Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","27 of 27 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 27 attributes and certify representative hardware/software."
"ValemountNetworks","16313","ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"VasExperts","43823","Accounting/session; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","47 of 47 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 47 attributes and certify representative hardware/software."
"VerizonWireless","12951","Accounting/session; Authorization/policy; Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","10 of 10 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 10 attributes and certify representative hardware/software."
"Versanet","2180","IP addressing/routing","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Walabi","2004","Accounting/session; Authentication","0 end-to-end vendor features proven","None","10 of 10 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 10 attributes and certify representative hardware/software."
"Waverider","2979","802.1X/enterprise Wi-Fi; Authentication; Authorization/policy; Bandwidth/QoS; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","14 of 14 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 14 attributes and certify representative hardware/software."
"Wichorus","27030","Authorization/policy","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"WiFi-Alliance","40808","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"WiMAX","24757","ISP/broadband/subscriber","0 end-to-end vendor features proven","None","292 of 292 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 292 attributes and certify representative hardware/software."
"WISPr","14122","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Vendor-specific/other","0 end-to-end vendor features proven","2 VSA mapping(s): qos.download_bandwidth; qos.upload_bandwidth","15 of 17 attributes plus their device workflows","5.88","Promote 2 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 15 attributes by feature family."
"Xedia","838","ACL/firewall policy; Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","8 of 8 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 8 attributes and certify representative hardware/software."
"Xylan","800","Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","33 of 33 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 33 attributes and certify representative hardware/software."
"Yubico","41482","Accounting/session; Authentication","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"Zeus","7146","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"ZTE","3902","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","6 VSA mapping(s): access.bandwidth_profile; access.role; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","43 of 49 attributes plus their device workflows","6.12","Promote 6 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 43 attributes by feature family."
"Zyxel","890","Authorization/policy; Voice/telephony","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
