"Vendor","PEN","AuditedCapabilityFamilies","CurrentCompatibilityPercent","CurrentStatus","ImplementationWave","ParentFeatureIDs","RequiredProductionEvidence","Source"
"Equallogic","12740","Authorization/policy; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ericsson","193","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ericsson-AB","2352","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ericsson-Packet-Core-Networks","10923","ACL/firewall policy","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ERX","4874","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E3 - Juniper/Extreme access and BNG","NAS-0063;NAS-0124;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Extreme","1916","802.1X/enterprise Wi-Fi; Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Tenant/location; Vendor-specific/other","16.67","Partial: 5 VSA mapping(s): access.role; access.vlan; guest.portal_profile","E3 - Juniper/Extreme access and BNG","NAS-0063;NAS-0124;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"F5","3375","Authorization/policy; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"fdXtended","34536","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Force10","6027","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E8 - Enterprise switching","NAS-0071;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Fortinet","12356","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","7.81","Partial: 5 VSA mapping(s): access.policy_tag; access.role; accounting.identity; device.group; governance.tenant","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Foundry","1991","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Dynamic authorization; NAS/device management; Voice/telephony","0","Missing: no end-to-end vendor feature proven","E4 - Ruckus/ICX access","NAS-0064;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"FreeDHCP","34673","ISP/broadband/subscriber; Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"FreeRADIUS","11344","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Bandwidth/QoS; IP addressing/routing; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Freeswitch","27880","Accounting/session; NAS/device management; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Gandalf","64","Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Garderos","16108","Authorization/policy; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Gemtek","10529","Accounting/session","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"H3C","25506","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Vendor-specific/other","5.65","Partial: 7 VSA mapping(s): access.policy_tag; access.role; device.group; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","B1 - Huawei/H3C/ZTE broadband","NAS-0068;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Hillstone","28557","Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"HP","11","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Vendor-specific/other","14.06","Partial: 9 VSA mapping(s): access.policy_tag; access.role; access.vlan; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","E2 - Aruba/HPE access","NAS-0062;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Huawei","2011","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","2.79","Partial: 11 VSA mapping(s): access.bandwidth_profile; access.role; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","B1 - Huawei/H3C/ZTE broadband","NAS-0068;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"IEA-Software","24023","Bandwidth/QoS; Dynamic authorization; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Infinera","8708","Accounting/session; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Infoblox","7779","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"infonet","4453","Authentication; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ipUnplugged","5925","Authentication; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Issanni","5948","Authorization/policy; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ITK","1195","Accounting/session; Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Juniper","2636","Accounting/session; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other; Voice/telephony","8.97","Partial: 7 VSA mapping(s): access.role; accounting.counters; device.group; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile","E3 - Juniper/Extreme access and BNG","NAS-0063;NAS-0124;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"KarlNet","762","Bandwidth/QoS; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Kineto","16445","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Lancom","2356","ACL/firewall policy; Authentication; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Lantronix","244","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Livingston","307","Accounting/session; Authorization/policy; IP addressing/routing; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Local-Web","19220","Accounting/session; IP addressing/routing; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Lucent","4846","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Manzara","19382","Accounting/session; Authentication; Authorization/policy; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Meinberg","5597","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Mellanox","33049","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Meraki","29671","Accounting/session; NAS/device management; Security/VPN/posture; Tenant/location","50","Partial: 4 VSA mapping(s): accounting.identity; device.group; governance.tenant; posture.device_state","E6 - Cloud-managed access","NAS-0066;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Merit","61","Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Meru","15983","Accounting/session; NAS/device management","50","Partial: 2 VSA mapping(s): accounting.identity; device.group","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Microsemi","40676","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Microsoft","311","Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Mikrotik","14988","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Tenant/location; Vendor-specific/other","3.12","Partial: 2 VSA mapping(s): access.bandwidth_profile; enforcement.dynamic_acl","B3 - MikroTik PPP/hotspot","NAS-0070;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Mimosa","43356","802.1X/enterprise Wi-Fi; Authentication; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Motorola","161","Accounting/session; Bandwidth/QoS; ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Navini","6504","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"NET","177","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"NetBorder","35987","Accounting/session; NAS/device management; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"NetElastic","54268","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; Mobile/core/charging; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Netscreen","3224","Authorization/policy; IP addressing/routing; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"NetworkPhysics","7119","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Nexans","266","NAS/device management; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Nile","58313","Captive portal/hotspot/guest; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Nokia","94","Accounting/session; Authentication; Authorization/policy; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","10","Partial: 3 VSA mapping(s): access.policy_tag; access.role; device.group","B2 - Nokia/Alcatel service routing","NAS-0069;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Nomadix","3309","802.1X/enterprise Wi-Fi; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; Vendor-specific/other","15.79","Partial: 6 VSA mapping(s): access.policy_tag; access.vlan; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth; session.action","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Nortel","562","Authentication; Authorization/policy; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"NTUA","969","Accounting/session; Authorization/policy; Bandwidth/QoS; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"OpenWiFi","58888","Accounting/session","50","Partial: 1 VSA mapping(s): accounting.identity","E6 - Cloud-managed access","NAS-0066;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Packeteer","2334","Accounting/session","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"PaloAlto","25461","Accounting/session; Authorization/policy; NAS/device management; Security/VPN/posture; Tenant/location","25","Partial: 5 VSA mapping(s): access.role; accounting.identity; device.group; governance.tenant; posture.device_state","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Patton","1768","Accounting/session; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Perle","1966","NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"pfSense","13644","Accounting/session; Bandwidth/QoS","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Pica8","35098","ACL/firewall policy; Authorization/policy; Captive portal/hotspot/guest","50","Partial: 4 VSA mapping(s): access.policy_tag; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Propel","14895","Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Prosoft","4735","Authentication; IP addressing/routing; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Proxim","841","Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Purewave","21074","Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Quiconnect","14436","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
