Vendor,PEN,Attribute,Number,OID,Type,EnumeratedValues,CapabilityFamily,Status,Pack,Semantic,Direction,Functionality
Alcatel-Lucent-Service-Router,6527,Alc-BGP-Policy,55,,string,,Authorization/policy,missing,,,,"Vendor role, privilege, service, group, or policy selection carried by Alc-BGP-Policy."
Alcatel-Lucent-Service-Router,6527,Alc-BGP-Auth-Keychain,56,,string,,Authentication,missing,,,,"Vendor authentication, credential, or method state carried by Alc-BGP-Auth-Keychain; exact acceptance semantics require the vendor specification."
Alcatel-Lucent-Service-Router,6527,Alc-BGP-Auth-Key,57,,octets,,Authentication,missing,,,,"Vendor authentication, credential, or method state carried by Alc-BGP-Auth-Key; exact acceptance semantics require the vendor specification."
Alcatel-Lucent-Service-Router,6527,Alc-BGP-Export-Policy,58,,string,,Authorization/policy,missing,,,,"Vendor role, privilege, service, group, or policy selection carried by Alc-BGP-Export-Policy."
Alcatel-Lucent-Service-Router,6527,Alc-BGP-Import-Policy,59,,string,,Authorization/policy,missing,,,,"Vendor role, privilege, service, group, or policy selection carried by Alc-BGP-Import-Policy."
Alcatel-Lucent-Service-Router,6527,Alc-BGP-PeerAS,60,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-BGP-PeerAS; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-Serv-Id,61,,integer,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-Serv-Id."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-Interface,62,,string,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-Interface."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-Tunnel-Template-Id,63,,integer,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-Tunnel-Template-Id."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-SA-Lifetime,64,,integer,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-SA-Lifetime."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-SA-PFS-Group,65,,integer,3,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-SA-PFS-Group."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-SA-Encr-Algorithm,66,,integer,6,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-SA-Encr-Algorithm."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-SA-Auth-Algorithm,67,,integer,3,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-SA-Auth-Algorithm."
Alcatel-Lucent-Service-Router,6527,Alc-IPsec-SA-Replay-Window,68,,integer,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by Alc-IPsec-SA-Replay-Window."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-High-Octets-Drop_64,69,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-High-Octets-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Low-Octets-Drop_64,70,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Low-Octets-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-High-Pack-Drop_64,71,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-High-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Low-Pack-Drop_64,72,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Low-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-High-Octets-Offer_64,73,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-High-Octets-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Low-Octets-Offer_64,74,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Low-Octets-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-High-Pack-Offer_64,75,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-High-Pack-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Low-Pack-Offer_64,76,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Low-Pack-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Unc-Octets-Offer_64,77,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Unc-Octets-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Unc-Pack-Offer_64,78,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Unc-Pack-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-All-Octets-Offer_64,79,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-All-Octets-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-All-Pack-Offer_64,80,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-All-Pack-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Inprof-Pack-Drop_64,81,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Inprof-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Outprof-Pack-Drop_64,82,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Outprof-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Inprof-Octs-Drop_64,83,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Inprof-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Outprof-Octs-Drop_64,84,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Outprof-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-All-Octs-Offer_64,85,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-All-Octs-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-All-Pack-Offer_64,86,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-All-Pack-Offer_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-Inpr-Octs-Drop_64,87,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-Inpr-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-Outpr-Octs-Drop_64,88,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-Outpr-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-Inpr-Pack-Drop_64,89,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-Inpr-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-I-Outpr-Pack-Drop_64,90,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-I-Outpr-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-O-Inpr-Pack-Drop_64,91,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-O-Inpr-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-O-Outpr-Pack-Drop_64,92,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-O-Outpr-Pack-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-O-Inpr-Octs-Drop_64,93,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-O-Inpr-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-OC-O-Outpr-Octs-Drop_64,94,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-OC-O-Outpr-Octs-Drop_64."
Alcatel-Lucent-Service-Router,6527,Alc-Credit-Control-CategoryMap,95,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Credit-Control-CategoryMap; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Credit-Control-Quota,96,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Credit-Control-Quota; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Tunnel-Challenge,97,,integer,2,Authentication,missing,,,,"Vendor authentication, credential, or method state carried by Alc-Tunnel-Challenge; exact acceptance semantics require the vendor specification."
Alcatel-Lucent-Service-Router,6527,Alc-Force-Nak,98,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Force-Nak; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Ipv6-Address,99,,ipv6addr,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Ipv6-Address."
Alcatel-Lucent-Service-Router,6527,Alc-Serv-Id,100,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Serv-Id; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Interface,101,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Interface; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-ToServer-Dhcp-Options,102,,octets,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-ToServer-Dhcp-Options."
Alcatel-Lucent-Service-Router,6527,Alc-ToClient-Dhcp-Options,103,,octets,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-ToClient-Dhcp-Options."
Alcatel-Lucent-Service-Router,6527,Alc-Tunnel-Serv-Id,104,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Tunnel-Serv-Id; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Ipv6-Primary-Dns,105,,ipv6addr,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Ipv6-Primary-Dns."
Alcatel-Lucent-Service-Router,6527,Alc-Ipv6-Secondary-Dns,106,,ipv6addr,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Ipv6-Secondary-Dns."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-statmode,107,,string,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-statmode."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Hiprio-Octets_64,108,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Hiprio-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Lowprio-Octets_64,109,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Lowprio-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Hiprio-Octets_64,110,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Hiprio-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Lowprio-Octets_64,111,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Lowprio-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Hiprio-Packets_64,112,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Hiprio-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-Lowprio-Packets_64,113,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-Lowprio-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Hiprio-Packets_64,114,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Hiprio-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-Lowprio-Packets_64,115,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-Lowprio-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-All-Octets_64,116,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-All-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-All-Octets_64,117,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-All-Octets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-I-All-Packets_64,118,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-I-All-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-All-Packets_64,119,,octets,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-All-Packets_64."
Alcatel-Lucent-Service-Router,6527,Alc-Tunnel-Rx-Window-Size,120,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Tunnel-Rx-Window-Size; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Nat-Port-Range,121,,string,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Nat-Port-Range."
Alcatel-Lucent-Service-Router,6527,Alc-LI-Action,122,,integer,3,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-LI-Action; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-LI-Destination,123,,string,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-LI-Destination."
Alcatel-Lucent-Service-Router,6527,Alc-LI-FC,124,,integer,8,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-LI-FC; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-LI-Direction,125,,integer,2,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-LI-Direction; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Subscriber-QoS-Override,126,,string,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-Subscriber-QoS-Override."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-O-statmode,127,,string,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-O-statmode."
Alcatel-Lucent-Service-Router,6527,Alc-ATM-Ingress-TD-Profile,128,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-ATM-Ingress-TD-Profile; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-ATM-Egress-TD-Profile,129,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-ATM-Egress-TD-Profile; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-AA-Transit-IP,130,,integer,3,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-AA-Transit-IP; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Delegated-IPv6-Pool,131,,string,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Delegated-IPv6-Pool."
Alcatel-Lucent-Service-Router,6527,Alc-Access-Loop-Rate-Down,132,,integer,,Bandwidth/QoS,missing,,,,"Vendor rate, queue, priority, burst, policer, or QoS control carried by Alc-Access-Loop-Rate-Down."
Alcatel-Lucent-Service-Router,6527,Alc-Access-Loop-Encap-Offset,133,,octets,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Access-Loop-Encap-Offset; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Subscriber-Filter,134,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Subscriber-Filter."
Alcatel-Lucent-Service-Router,6527,Alc-PPP-Force-IPv6CP,135,,integer,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-PPP-Force-IPv6CP."
Alcatel-Lucent-Service-Router,6527,Alc-Onetime-Http-Redirection-Filter-Id,136,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Onetime-Http-Redirection-Filter-Id."
Alcatel-Lucent-Service-Router,6527,Alc-Authentication-Policy-Name,137,,string,,Authentication,missing,,,,"Vendor authentication, credential, or method state carried by Alc-Authentication-Policy-Name; exact acceptance semantics require the vendor specification."
Alcatel-Lucent-Service-Router,6527,Alc-LI-Intercept-Id,138,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-LI-Intercept-Id; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-LI-Session-Id,139,,integer,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-LI-Session-Id."
Alcatel-Lucent-Service-Router,6527,Alc-Nat-Outside-Serv-Id,140,,integer,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Nat-Outside-Serv-Id."
Alcatel-Lucent-Service-Router,6527,Alc-Nat-Outside-Ip-Addr,141,,ipaddr,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-Nat-Outside-Ip-Addr."
Alcatel-Lucent-Service-Router,6527,Alc-APN-Password,142,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-APN-Password."
Alcatel-Lucent-Service-Router,6527,Alc-APN-Name,143,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-APN-Name."
Alcatel-Lucent-Service-Router,6527,Alc-Tunnel-Acct-Policy,144,,string,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Tunnel-Acct-Policy."
Alcatel-Lucent-Service-Router,6527,Alc-Mgw-Interface-Type,145,,integer,3,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Mgw-Interface-Type; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Wlan-APN-Name,146,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Wlan-APN-Name."
Alcatel-Lucent-Service-Router,6527,Alc-MsIsdn,147,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-MsIsdn; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-RSSI,148,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-RSSI; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Num-Attached-UEs,149,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Num-Attached-UEs; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Charging-Prof-ID,150,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Charging-Prof-ID."
Alcatel-Lucent-Service-Router,6527,Alc-AA-Group-Partition-Isa-Id,156,,string,,Authorization/policy,missing,,,,"Vendor role, privilege, service, group, or policy selection carried by Alc-AA-Group-Partition-Isa-Id."
Alcatel-Lucent-Service-Router,6527,Alc-AA-Peer-Identifier,157,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-AA-Peer-Identifier; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Nas-Filter-Rule-Shared,158,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Nas-Filter-Rule-Shared."
Alcatel-Lucent-Service-Router,6527,Alc-Ascend-Data-Filter-Host-Spec,159,,abinary,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by Alc-Ascend-Data-Filter-Host-Spec."
Alcatel-Lucent-Service-Router,6527,Alc-Relative-Session-Timeout,160,,integer,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Relative-Session-Timeout."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-Triggered-Reason,163,,integer,11,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-Triggered-Reason."
Alcatel-Lucent-Service-Router,6527,Alc-Wlan-Portal-Redirect,172,,string,,802.1X/enterprise Wi-Fi,missing,,,,"Vendor WLAN, AP, radio, SSID, or 802.1X context carried by Alc-Wlan-Portal-Redirect."
Alcatel-Lucent-Service-Router,6527,Alc-Wlan-Portal-Url,173,,string,,802.1X/enterprise Wi-Fi,missing,,,,"Vendor WLAN, AP, radio, SSID, or 802.1X context carried by Alc-Wlan-Portal-Url."
Alcatel-Lucent-Service-Router,6527,Alc-Lease-Time,174,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Lease-Time; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-DSL-Line-State,175,,integer,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-DSL-Line-State."
Alcatel-Lucent-Service-Router,6527,Alc-DSL-Type,176,,integer,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-DSL-Type."
Alcatel-Lucent-Service-Router,6527,Alc-Portal-Url,177,,string,,Captive portal/hotspot/guest,missing,,,,"Vendor redirect, portal, hotspot, walled-garden, or guest lifecycle state carried by Alc-Portal-Url."
Alcatel-Lucent-Service-Router,6527,Alc-Ipv6-Portal-Url,178,,string,,Captive portal/hotspot/guest,missing,,,,"Vendor redirect, portal, hotspot, walled-garden, or guest lifecycle state carried by Alc-Ipv6-Portal-Url."
Alcatel-Lucent-Service-Router,6527,Alc-SAP-Session-Index,180,,integer,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-SAP-Session-Index."
Alcatel-Lucent-Service-Router,6527,Alc-SLAAC-IPv6-Pool,181,,string,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-SLAAC-IPv6-Pool."
Alcatel-Lucent-Service-Router,6527,Alc-WPP-ErrorCode,183,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-WPP-ErrorCode; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Onetime-Http-Redirect-Reactivate,185,,string,,Captive portal/hotspot/guest,missing,,,,"Vendor redirect, portal, hotspot, walled-garden, or guest lifecycle state carried by Alc-Onetime-Http-Redirect-Reactivate."
Alcatel-Lucent-Service-Router,6527,Alc-ToServer-Dhcp6-Options,191,,octets,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-ToServer-Dhcp6-Options."
Alcatel-Lucent-Service-Router,6527,Alc-ToClient-Dhcp6-Options,192,,octets,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-ToClient-Dhcp6-Options."
Alcatel-Lucent-Service-Router,6527,Alc-v6-Preferred-Lifetime,200,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-v6-Preferred-Lifetime; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-v6-Valid-Lifetime,201,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-v6-Valid-Lifetime; the dictionary supplies wire metadata, not a complete behavioral specification."
Alcatel-Lucent-Service-Router,6527,Alc-Dhcp6-Renew-Time,202,,integer,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-Dhcp6-Renew-Time."
Alcatel-Lucent-Service-Router,6527,Alc-Dhcp6-Rebind-Time,203,,integer,,ISP/broadband/subscriber,missing,,,,"Vendor broadband access, PPP/PPPoE, DHCP, BNG/BRAS, or subscriber state carried by Alc-Dhcp6-Rebind-Time."
Alcatel-Lucent-Service-Router,6527,Alc-Wlan-SSID-VLAN,206,,string,,802.1X/enterprise Wi-Fi,missing,,,,"Vendor WLAN, AP, radio, SSID, or 802.1X context carried by Alc-Wlan-SSID-VLAN."
Alcatel-Lucent-Service-Router,6527,Alc-UPnP-Sub-Override-Policy,217,,string,,Authorization/policy,missing,,,,"Vendor role, privilege, service, group, or policy selection carried by Alc-UPnP-Sub-Override-Policy."
Alcatel-Lucent-Service-Router,6527,Alc-Trigger-Acct-Interim,228,,string,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Trigger-Acct-Interim."
Alcatel-Lucent-Service-Router,6527,Alc-Acct-Interim-Level,232,,integer,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by Alc-Acct-Interim-Level."
Alcatel-Lucent-Service-Router,6527,Alc-DNAT-Override,234,,string,,IP addressing/routing,missing,,,,"Vendor IP address, pool, prefix, route, gateway, NAT, or DNS state carried by Alc-DNAT-Override."
Alcatel-Lucent-Service-Router,6527,Alc-Remove-Override,238,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by Alc-Remove-Override; the dictionary supplies wire metadata, not a complete behavioral specification."
